"verbo","papel"
"escoriar1","Experiencer"
"escorraçar","Experiencer"
"escravizar","Experiencer"
"escrutar","Experiencer"
"escutar","Experiencer"
"esfolar","Experiencer"
"esforçar","Experiencer"
"esfregar","Experiencer"
"esfriar","Experiencer"
"esmagar","Experiencer"
"esmechar","Experiencer"
"esmerilar","Experiencer"
"esmerilhar","Experiencer"
"esmiuçar","Experiencer"
"esmiudar","Experiencer"
"esmorecer","Experiencer"
"espairecer","Experiencer"
"espantar","Experiencer"
"esperançar","Experiencer"
"espernear","Experiencer"
"espernegar","Experiencer"
"espertar","Experiencer"
"espevitar","Experiencer"
"espezinhar","Experiencer"
"espiar","Experiencer"
"espicaçar","Experiencer"
"espinhar","Experiencer"
"espiolhar","Experiencer"
"espionar","Experiencer"
"espreitar","Experiencer"
"esquadrinhar","Experiencer"
"esquentar","Experiencer"
"estar","Experiencer"
"estigmatizar","Experiencer"
"estilar1","Experiencer"
"estimar","Experiencer"
"estimular","Experiencer"
"estomagar","Experiencer"
"estorvar","Experiencer"
"estranhar","Experiencer"
"estrebuchar","Experiencer"
"estremecer","Experiencer"
"estudar","Experiencer"
"esvaecer","Experiencer"
"exalçar","Experiencer"
"exaltar","Experiencer"
"examinar","Experiencer"
"exasperar","Experiencer"
"excitar","Experiencer"
"excruciar","Experiencer"
"execrar","Experiencer"
"exortar","Experiencer"
"expiar","Experiencer"
"explorar","Experiencer"
"exprobar","Experiencer"
"extasiar","Experiencer"
"extremar","Experiencer"
"exulcerar","Experiencer"
"exultar","Experiencer"
"falar","Experiencer"
"falecer","Experiencer"
"falsear","Experiencer"
"farejar","Experiencer"
"fariscar","Experiencer"
"fartar","Experiencer"
"fascinar","Experiencer"
"fatigar","Experiencer"
"feder","Experiencer"
"ferir","Experiencer"
"ferrar","Experiencer"
"figurar","Experiencer"
"fitar","Experiencer"
"flagelar","Experiencer"
"flechar","Experiencer"
"focalizar","Experiencer"
"focar","Experiencer"
"folgar","Experiencer"
"folgazar","Experiencer"
"frechar","Experiencer"
"frenesiar","Experiencer"
"friccionar","Experiencer"
"frustrar","Experiencer"
"fumegar","Experiencer"
"funestar","Experiencer"
"fustigar","Experiencer"
"gabar","Experiencer"
"gelar","Experiencer"
"gemer","Experiencer"
"girar","Experiencer"
"glorificar","Experiencer"
"glosar","Experiencer"
"gostar","Experiencer"
"gramar","Experiencer"
"guardar","Experiencer"
"heroificar","Experiencer"
"hipnotizar","Experiencer"
"horripilar","Experiencer"
"horrorizar","Experiencer"
"humildar","Experiencer"
"humilhar","Experiencer"
"identificar","Experiencer"
"idolatrar","Experiencer"
"iludir","Experiencer"
"iluminar","Experiencer"
"ilustrar","Experiencer"
"imaginar","Experiencer"
"imbuir","Experiencer"
"impacientar","Experiencer"
"impor","Experiencer"
"importunar","Experiencer"
"impregnar","Experiencer"
"impressionar","Experiencer"
"incendiar","Experiencer"
"incentivar","Experiencer"
"incitar","Experiencer"
"incomodar","Experiencer"
"inconfortar","Experiencer"
"inculcar","Experiencer"
"incutir","Experiencer"
"indagar","Experiencer"
"indignar","Experiencer"
"indispor","Experiencer"
"induzir","Experiencer"
"inebriar","Experiencer"
"infiltrar","Experiencer"
"inflamar","Experiencer"
"influir","Experiencer"
"infundir","Experiencer"
"inimizar","Experiencer"
"inquietar","Experiencer"
"inquirir","Experiencer"
"insinuar","Experiencer"
"inspecionar","Experiencer"
"inspetar","Experiencer"
"inspirar","Experiencer"
"instilar","Experiencer"
"insuflar","Experiencer"
"intencionar","Experiencer"
"intentar","Experiencer"
"interrogar","Experiencer"
"intimidar","Experiencer"
"intoxicar","Experiencer"
"intrigar","Experiencer"
"invejar","Experiencer"
"investigar","Experiencer"
"irar","Experiencer"
"irritar","Experiencer"
"jeremiar","Experiencer"
"jogar","Experiencer"
"jubilar","Experiencer"
"judiar","Experiencer"
"julgar","Experiencer"
"lacerar","Experiencer"
"lacrimar","Experiencer"
"lagrimar","Experiencer"
"lamentar","Experiencer"
"lamuriar","Experiencer"
"lastimar","Experiencer"
"laxar","Experiencer"
"lembrar","Experiencer"
"lenificar","Experiencer"
"lenir","Experiencer"
"lesar","Experiencer"
"lesionar","Experiencer"
"levantar","Experiencer"
"localizar","Experiencer"
"louvar","Experiencer"
"lustrar","Experiencer"
"macerar","Experiencer"
"machucar","Experiencer"
"magnetizar","Experiencer"
"magnificar","Experiencer"
"magoar","Experiencer"
"malear","Experiencer"
"maliciar","Experiencer"
"malquerer","Experiencer"
"malquistar","Experiencer"
"maltratar","Experiencer"
"manear","Experiencer"
"manejar","Experiencer"
"maquinar","Experiencer"
"maravilhar","Experiencer"
"marcar","Experiencer"
"martirizar","Experiencer"
"massagear","Experiencer"
"matutar","Experiencer"
"mazelar","Experiencer"
"meditar","Experiencer"
"melancolizar","Experiencer"
"melindrar","Experiencer"
"menos se esperava","Experiencer"
"menosprezar","Experiencer"
"mentalizar","Experiencer"
"meter","Experiencer"
"mimar1","Experiencer"
"mimosear","Experiencer"
"minguar","Experiencer"
"ministrar","Experiencer"
"minorar","Experiencer"
"mirar","Experiencer"
"mitigar","Experiencer"
"miudear","Experiencer"
"moderar","Experiencer"
"moer","Experiencer"
"molestar","Experiencer"
"molificar","Experiencer"
"morder","Experiencer"
"mordicar","Experiencer"
"mordiscar","Experiencer"
"morrinhar","Experiencer"
"mortificar","Experiencer"
"mover","Experiencer"
"namorar","Experiencer"
"necessitar","Experiencer"
"nobilitar","Experiencer"
"notar","Experiencer"
"obcecar","Experiencer"
"objurgar","Experiencer"
"obscurecer","Experiencer"
"observar","Experiencer"
"obumbrar","Experiencer"
"odiar","Experiencer"
"ofender","Experiencer"
"ojerizar","Experiencer"
"olhar","Experiencer"
"oprimir","Experiencer"
"opulentar","Experiencer"
"orar","Experiencer"
"ornar","Experiencer"
"oscular","Experiencer"
"outorgar","Experiencer"
"ouvir","Experiencer"
"padecer","Experiencer"
"pairar","Experiencer"
"palejar","Experiencer"
"palpitar","Experiencer"
"paparicar","Experiencer"
"pascer","Experiencer"
"passar","Experiencer"
"pastar","Experiencer"
"pedir","Experiencer"
"penetrar","Experiencer"
"penhorar","Experiencer"
"pensar","Experiencer"
"perceber","Experiencer"
"percorrer","Experiencer"
"perguntar","Experiencer"
"periclitar","Experiencer"
"perigar","Experiencer"
"pernear","Experiencer"
"perquirir","Experiencer"
"perrengar","Experiencer"
"perrenguear","Experiencer"
"perscrutar","Experiencer"
"perturbar","Experiencer"
"pesquisar","Experiencer"
"piançar","Experiencer"
"picar","Experiencer"
"piriricar","Experiencer"
"pirraçar","Experiencer"
"pirracear","Experiencer"
"pisar","Experiencer"
"placitar","Experiencer"
"plantar","Experiencer"
"pombear","Experiencer"
"postergar","Experiencer"
"prantear","Experiencer"
"prazer","Experiencer"
"precisar","Experiencer"
"preconizar","Experiencer"
"prejudicar","Experiencer"
"prender","Experiencer"
"prensar","Experiencer"
"preocupar","Experiencer"
"presenciar","Experiencer"
"pressupor","Experiencer"
"prestigiar","Experiencer"
"presumir","Experiencer"
"pretender","Experiencer"
"prezar","Experiencer"
"procurar","Experiencer"
"profligar","Experiencer"
"profundar","Experiencer"
"projetar","Experiencer"
"promover","Experiencer"
"prostrar","Experiencer"
"proteger","Experiencer"
"provocar","Experiencer"
"prurir","Experiencer"
"quebrantar","Experiencer"
"quebrar","Experiencer"
"querer","Experiencer"
"raivar","Experiencer"
"raspar","Experiencer"
"rastejar","Experiencer"
"ratar","Experiencer"
"ratificar","Experiencer"
"rebaixar","Experiencer"
"rebater","Experiencer"
"recear","Experiencer"
"reclamar","Experiencer"
"reconhecer","Experiencer"
"recorrer","Experiencer"
"recrear","Experiencer"
"recuar","Experiencer"
"recusar","Experiencer"
"redopiar","Experiencer"
"reduzir","Experiencer"
"referver","Experiencer"
"refocilar","Experiencer"
"refrescar","Experiencer"
"refrigerar","Experiencer"
"refutar","Experiencer"
"regalar","Experiencer"
"regozijar","Experiencer"
"rejeitar1","Experiencer"
"relutar","Experiencer"
"remitir","Experiencer"
"remoer","Experiencer"
"remorder","Experiencer"
"render","Experiencer"
"renegar","Experiencer"
"renunciar","Experiencer"
"reparar","Experiencer"
"reprochar","Experiencer"
"reprovar","Experiencer"
"reputar","Experiencer"
"requerer","Experiencer"
"resfriar","Experiencer"
"resguardar","Experiencer"
"resistir","Experiencer"
"respeitar","Experiencer"
"retorcer","Experiencer"
"retundir","Experiencer"
"revenerar","Experiencer"
"reverenciar","Experiencer"
"revirar","Experiencer"
"revoltar","Experiencer"
"rezar","Experiencer"
"rilhar","Experiencer"
"roçar","Experiencer"
"rodar","Experiencer"
"rodopiar","Experiencer"
"roer","Experiencer"
"rogar","Experiencer"
"rolar1","Experiencer"
"saborear","Experiencer"
"sacudir","Experiencer"
