"verbo","papel"
"bafejar","Agent"
"baixar","Agent"
"bajular","Agent"
"balançar","Agent"
"balancear","Agent"
"balar","Agent"
"baldear","Agent"
"balir","Agent"
"balouçar","Agent"
"bambear","Agent"
"bandear","Agent"
"banhar","Agent"
"banir","Agent"
"baquear","Agent"
"barafustar","Agent"
"barbear","Agent"
"barquejar","Agent"
"barrar1","Agent"
"barrufar","Agent"
"barulhar","Agent"
"basculhar","Agent"
"basear","Agent"
"bater","Agent"
"batizar","Agent"
"batucar","Agent"
"bazofiar","Agent"
"beber","Agent"
"beijar","Agent"
"beliscar","Agent"
"bem-fadar","Agent"
"bençoar","Agent"
"bendizer","Agent"
"beneficiar","Agent"
"benzer","Agent"
"berrar","Agent"
"bestar","Agent"
"besuntar","Agent"
"betar","Agent"
"betumar","Agent"
"bicar","Agent"
"bigodear","Agent"
"birrar","Agent"
"bisar","Agent"
"blasonar","Agent"
"blindar","Agent"
"bloquear","Agent"
"bocar","Agent"
"bocejar","Agent"
"boiar","Agent"
"bolar","Agent"
"bolçar","Agent"
"bonificar","Agent"
"boquejar","Agent"
"borboletear","Agent"
"borbulhar","Agent"
"bordar","Agent"
"borrar","Agent"
"borrifar","Agent"
"botar1","Agent"
"bramar","Agent"
"bramir","Agent"
"brandear","Agent"
"brandir","Agent"
"branquear","Agent"
"branquejar","Agent"
"brasonar","Agent"
"bravatear","Agent"
"brear","Agent"
"brilhar","Agent"
"brincar","Agent"
"britar","Agent"
"bromar","Agent"
"bronquear","Agent"
"brotar","Agent"
"brunir","Agent"
"bubuiar","Agent"
"bulir","Agent"
"burilar","Agent"
"burlar","Agent"
"buscar","Agent"
"caber","Agent"
"caçar","Agent"
"cacarejar","Agent"
"cachear","Agent"
"cachetar","Agent"
"cachimbar","Agent"
"cachinar","Agent"
"caçoar","Agent"
"cadenciar","Agent"
"caducar","Agent"
"caiar","Agent"
"cair","Agent"
"calar2","Agent"
"calçar","Agent"
"calcetar","Agent"
"calcular","Agent"
"caldear","Agent"
"calhar","Agent"
"calmar","Agent"
"caluniar","Agent"
"cambetear","Agent"
"cambiar","Agent"
"caminhar","Agent"
"campar","Agent"
"campear","Agent"
"cancelar","Agent"
"canelar","Agent"
"canonizar","Agent"
"cansar","Agent"
"cantar","Agent"
"cantarejar","Agent"
"cantarolar","Agent"
"capacitar","Agent"
"capear","Agent"
"capengar","Agent"
"capinar","Agent"
"capitular","Agent"
"capotar","Agent"
"captar","Agent"
"capturar","Agent"
"caramelar","Agent"
"caramelizar","Agent"
"caramunhar","Agent"
"carbonizar","Agent"
"cariciar","Agent"
"carimbar","Agent"
"carnear","Agent"
"carpir","Agent"
"carrear","Agent"
"carregar","Agent"
"casar","Agent"
"cascar","Agent"
"casquinar","Agent"
"cassar","Agent"
"castelhanizar","Agent"
"castigar","Agent"
"catar","Agent"
"categorizar","Agent"
"catequizar","Agent"
"catucar","Agent"
"cavalear","Agent"
"cavalgar","Agent"
"cavar","Agent"
"cavilhar","Agent"
"cavoucar","Agent"
"cavucar","Agent"
"caxingar","Agent"
"ceder","Agent"
"cegar","Agent"
"ceifar","Agent"
"censurar","Agent"
"centuplicar","Agent"
"cercar","Agent"
"cercear","Agent"
"cerdear","Agent"
"cerrar","Agent"
"certificar","Agent"
"cerzir","Agent"
"cessar","Agent"
"cesurar","Agent"
"cevar","Agent"
"chacinar","Agent"
"chacoalhar","Agent"
"chacotear","Agent"
"chalaçar","Agent"
"chalacear","Agent"
"chalrar","Agent"
"chamar","Agent"
"chamejar","Agent"
"chamuscar","Agent"
"chapar","Agent"
"charquear","Agent"
"chasquear","Agent"
"chegar","Agent"
"cheirar","Agent"
"chiar","Agent"
"chilrar","Agent"
"chilrear","Agent"
"chispar","Agent"
"chocalhar","Agent"
"chocar2","Agent"
"chocarrear","Agent"
"choferar","Agent"
"choramigar","Agent"
"choramingar","Agent"
"chorar","Agent"
"chuchar","Agent"
"chumbar","Agent"
"chupar","Agent"
"cicatrizar","Agent"
"ciciar","Agent"
"ciganear","Agent"
"cimentar","Agent"
"cincar","Agent"
"cindir","Agent"
"cingir","Agent"
"cintilar","Agent"
"circular","Agent"
"citar","Agent"
"clamar","Agent"
"clarear","Agent"
"clarificar","Agent"
"clarinar","Agent"
"classificar","Agent"
"claudicar","Agent"
"clicar","Agent"
"coadjuvar","Agent"
"coadunar","Agent"
"coagir","Agent"
"coalhar","Agent"
"coar","Agent"
"cobiçar","Agent"
"cobrar","Agent"
"cobrear","Agent"
"cobrejar","Agent"
"cobrir","Agent"
"coçar","Agent"
"cochichar","Agent"
"cochilar","Agent"
"cocoricar","Agent"
"codificar","Agent"
"codilhar","Agent"
"coexistir","Agent"
"cofiar","Agent"
"cogitar","Agent"
"coicear","Agent"
"coincidir","Agent"
"colar","Agent"
"colear","Agent"
"colecionar","Agent"
"coletar","Agent"
"colher","Agent"
"colidir","Agent"
"coligar","Agent"
"coligir","Agent"
"colocar","Agent"
"colorar","Agent"
"colorir","Agent"
"colorizar","Agent"
"comandar","Agent"
"combater","Agent"
"combinar","Agent"
"começar","Agent"
"comentar","Agent"
"comer","Agent"
"cometer","Agent"
"cominuir","Agent"
"comover","Agent"
"comparar","Agent"
"compassar","Agent"
"compelir","Agent"
"compensar","Agent"
"competir","Agent"
"compilar","Agent"
"complanar","Agent"
"complementar","Agent"
"completar","Agent"
"compor","Agent"
"comportar","Agent"
"comprar","Agent"
"compreender","Agent"
"comprimir","Agent"
"comprometer","Agent"
"compromissar","Agent"
"comprovar","Agent"
"compulsar","Agent"
"comunicar","Agent"
"comutar","Agent"
"concatenar","Agent"
"conceber","Agent"
"conceituar","Agent"
"concernir","Agent"
"conchegar","Agent"
"conciliar","Agent"
"concitar","Agent"
"conclamar","Agent"
"concluir","Agent"
"concorrer","Agent"
"conculcar","Agent"
"condenar","Agent"
"condensar","Agent"
"condimentar","Agent"
"condizer","Agent"
"conduzir","Agent"
"conectar","Agent"
"confabular","Agent"
"confederar","Agent"
"conferenciar","Agent"
"conferir","Agent"
"confessar","Agent"
"confiar","Agent"
"confidenciar","Agent"
"confinar","Agent"
"confirmar","Agent"
"confortar","Agent"
"confranger","Agent"
"confrontar","Agent"
"congelar","Agent"
"conglomerar","Agent"
"congratular","Agent"
"congregar","Agent"
"conhecer","Agent"
"conjecturar","Agent"
"conjeturar","Agent"
"conjurar","Agent"
"conquistar","Agent"
"consagrar","Agent"
"conscientizar","Agent"
"conseguir","Agent"
"consentir","Agent"
"consertar","Agent"
"conservar","Agent"
"considerar","Agent"
"consignar","Agent"
"consistir","Agent"
"consolar","Agent"
"consolidar","Agent"
"consorciar","Agent"
"conspurcar","Agent"
"constituir","Agent"
"constranger","Agent"
"construir","Agent"
"consultar","Agent"
"consumar","Agent"
"consumir","Agent"
"contagiar","Agent"
"contaminar","Agent"
"contar","Agent"
"contemporizar","Agent"
"contender","Agent"
"contentar","Agent"
"conter","Agent"
"continuar","Agent"
"contrabalançar","Agent"
"contrafazer","Agent"
"contrair","Agent"
"contrapesar","Agent"
"contrapor","Agent"
"contribuir","Agent"
"convencer","Agent"
"conversar","Agent"
"converter","Agent"
"convidar","Agent"
"convir","Agent"
"conviver","Agent"
"convocar","Agent"
"coordenar","Agent"
"copiar","Agent"
"copilar","Agent"
"copular","Agent"
"corar","Agent"
"corcovear","Agent"
"coriscar","Agent"
"coroar","Agent"
"correr","Agent"
"corrugar","Agent"
"corrupiar","Agent"
"cortar","Agent"
"coruscar","Agent"
"coser","Agent"
"costurar","Agent"
"cotar","Agent"
"cotejar","Agent"
"coucear","Agent"
"coxear","Agent"
"cozer","Agent"
"cozinhar","Agent"
"cravar","Agent"
"cravejar","Agent"
"crepitar","Agent"
"crescer","Agent"
"crestar","Agent"
"criar","Agent"
"criticar","Agent"
"crivar","Agent"
"crocitar","Agent"
"crucificar","Agent"
"crucifixar","Agent"
"cruzar","Agent"
"cucuritar","Agent"
"cuidar","Agent"
"cuinhar","Agent"
"cultivar","Agent"
"cumprimentar","Agent"
"cumprir","Agent"
"cumular","Agent"
"cunhar","Agent"
"curar","Agent"
"curtir","Agent"
"curvar","Agent"
"curvetear","Agent"
"cuspilhar","Agent"
"cuspinhar","Agent"
"cuspir","Agent"
"custar","Agent"
"custodiar","Agent"
"cutucar","Agent"
"dactilografar","Agent"
"danar","Agent"
"dançar","Agent"
"danificar","Agent"
"daninhar","Agent"
"dar","Agent"
"dardejar","Agent"
"datilografar","Agent"
"deambular","Agent"
"debelar","Agent"
"debicar","Agent"
"debilitar","Agent"
"debochar","Agent"
"debulhar","Agent"
"debutar","Agent"
"decair","Agent"
"decalcar","Agent"
"decentralizar","Agent"
"decepar","Agent"
"decidir","Agent"
"decifrar","Agent"
"decimar","Agent"
"declamar","Agent"
"declarar","Agent"
"declinar","Agent"
"decodificar","Agent"
"decorar1","Agent"
"decorar2","Agent"
"decotar","Agent"
"decretar","Agent"
"decriptar","Agent"
"dedicar","Agent"
"deduzir","Agent"
"defender","Agent"
"definhar","Agent"
"defluir","Agent"
"defraudar","Agent"
"defrontar","Agent"
"defumar","Agent"
"degelar","Agent"
"degenerar","Agent"
"deglutir","Agent"
"degolar","Agent"
"degradar","Agent"
"degranar","Agent"
"deitar","Agent"
"deixar","Agent"
"dejejuar","Agent"
"delir","Agent"
"delongar","Agent"
"delucidar","Agent"
"demandar","Agent"
"demarcar","Agent"
"demitir","Agent"
"demolir","Agent"
"demonstrar","Agent"
"demorar","Agent"
"demover","Agent"
"denegar","Agent"
"denegrir","Agent"
"denominar","Agent"
"departir","Agent"
"depauperar","Agent"
"depenar","Agent"
"dependurar","Agent"
"depor","Agent"
"depositar","Agent"
"deprecar","Agent"
"depreciar","Agent"
"depredar","Agent"
"depreender","Agent"
"deprimir","Agent"
"depurar","Agent"
"derivar","Agent"
"derrabar","Agent"
"derramar1","Agent"
"derramar2","Agent"
"derrear","Agent"
"derreter","Agent"
"derribar","Agent"
"derriçar","Agent"
"derriscar","Agent"
"derrogar","Agent"
"derrubar","Agent"
"derruir","Agent"
"desabastecer","Agent"
"desabituar","Agent"
"desabotoar","Agent"
"desabrigar","Agent"
"desabrochar","Agent"
"desabusar","Agent"
"desacasalar","Agent"
"desacelerar","Agent"
"desaconselhar","Agent"
"desacorrentar","Agent"
"desacostumar","Agent"
"desacreditar","Agent"
"desadorar1","Agent"
"desaferrolhar","Agent"
"desafiar1","Agent"
"desafixar","Agent"
"desafligir","Agent"
"desafoguear","Agent"
"desafrontar","Agent"
"desagasalhar","Agent"
"desagravar","Agent"
"desagregar","Agent"
"desajudar","Agent"
"desalagar","Agent"
"desamarrotar","Agent"
"desamassar","Agent"
"desambientar","Agent"
"desamparar","Agent"
"desancar","Agent"
"desandar","Agent"
"desanexar","Agent"
"desangustiar","Agent"
"desanimar","Agent"
"desanuviar","Agent"
"desaparafusar","Agent"
"desaparelhar","Agent"
"desapartar","Agent"
"desapear","Agent"
"desapertar","Agent"
"desapossar","Agent"
"desapropriar","Agent"
"desaproveitar","Agent"
"desaquecer","Agent"
"desarborizar","Agent"
"desarmar","Agent"
"desarmonizar","Agent"
"desarquivar","Agent"
"desarraigar","Agent"
"desarrimar","Agent"
"desasnar","Agent"
"desatar","Agent"
"desatarraxar","Agent"
"desataviar","Agent"
"desavir","Agent"
"desbastar","Agent"
"desbloquear","Agent"
"desbotar","Agent"
"desbotoar","Agent"
"desbulhar","Agent"
"descadeirar","Agent"
"descafeinar","Agent"
"descair","Agent"
"descalçar","Agent"
"descamar","Agent"
"descambar","Agent"
"descaminhar","Agent"
"descansar","Agent"
"descantar","Agent"
"descarnar","Agent"
"descarregar","Agent"
"descasar","Agent"
"descascar","Agent"
"descativar","Agent"
"descentralizar","Agent"
"descentrar","Agent"
"descer","Agent"
"descerrar","Agent"
"descingir","Agent"
"desclassificar","Agent"
"descobrir","Agent"
"descodificar","Agent"
"descolar","Agent"
"descombinar","Agent"
"desconcentrar","Agent"
"desconcertar","Agent"
"desconciliar","Agent"
"desconfiar","Agent"
"descongelar","Agent"
"desconhecer","Agent"
"desconjuntar","Agent"
"desconsertar","Agent"
"descontaminar","Agent"
"desconvencer","Agent"
"desconversar","Agent"
"desconverter","Agent"
"descorar","Agent"
"descornar","Agent"
"descortinar","Agent"
"descreditar","Agent"
"descrever","Agent"
"desculpar","Agent"
"desdenhar","Agent"
"desdobrar","Agent"
"desdoirar","Agent"
"desdourar","Agent"
"desejar","Agent"
"desembaraçar","Agent"
"desembestar","Agent"
"desembolsar","Agent"
"desemborcar","Agent"
"desembrulhar","Agent"
"desemburrar","Agent"
"desemparelhar","Agent"
"desempenhar","Agent"
"desemperrar","Agent"
"desempoar","Agent"
"desempobrecer","Agent"
"desempoeirar","Agent"
"desempossar","Agent"
"desempregar","Agent"
"desencalacrar","Agent"
"desencaminhar","Agent"
"desencarapinhar","Agent"
"desencarcerar","Agent"
"desencardir","Agent"
"desencaroçar","Agent"
"desencharcar","Agent"
"desencobrir","Agent"
"desencorajar","Agent"
"desencorpar","Agent"
"desencrespar","Agent"
"desencurralar","Agent"
"desendeusar","Agent"
"desenfeitar","Agent"
"desenfrear","Agent"
"desengaçar","Agent"
"desengajar","Agent"
"desenganar","Agent"
"desengastar","Agent"
"desengatilhar","Agent"
"desengolir","Agent"
"desengomar","Agent"
"desengonçar","Agent"
"desengordurar","Agent"
"desengrandecer","Agent"
"desengrenar","Agent"
"desengrossar","Agent"
"desenhar","Agent"
"desenlamear","Agent"
"desenlear","Agent"
"desenobrecer","Agent"
"desenredar","Agent"
"desenriçar","Agent"
"desenrijar","Agent"
"desenrolar","Agent"
"desenrubescer","Agent"
"desenrugar","Agent"
"desensoberbecer","Agent"
"desensopar","Agent"
"desentesar","Agent"
"desentranhar","Agent"
"desentristecer","Agent"
"desentrosar","Agent"
"desenvencilhar","Agent"
"desenvolver","Agent"
"desequilibrar","Agent"
"desesperançar","Agent"
"desesperar","Agent"
"desestabilizar","Agent"
"desestimular","Agent"
"desfalcar","Agent"
"desfarelar","Agent"
